tweet,label
"i hoped our dear Prime Minister would talk about his preparation to fight the virus, preparation about hungry poor people, preparation about hospitals or ventilators. But as usual andh bhakts are going to celebrate diwali on 9th as they celebrated Thali Bahao festival.",0
Meanwhile secular or anti nationals in hospitals,0
He's no plans isliye modi is doing circus with whole country.,1
Over excited #Bhakts on Sunday April 5.!!,0
"Its disaster the PM 0f 135 cr population country comes for a press confrence during a epidemic disaster and saying to glow up the lights and lamps for 9 min to show we all are togeather rediculous...... Sir we also want how do you prepare to save us from this or will staying busy in doing campaign for releif fund.... Is there any clue of increasing ventilators, testing kits, masks, senitizers and other essentials.",1
Bhakts on jalao ceremony,0
"Before u know it, he will tell us to press d LOTUS in elections to honour d country & prove Our nationalism & we will gladly do it ! ",0
But respect every religion,0
· ,0
5th april rehearsal,0
Smwhere so called shaantidoots on 5th April at 9 PM ,0
Giving time for d andh stupid bhakts to get diyas n candle,1
"Coronavirus] Switch off all'lights and light lamps at 9pm on April 5, Says PM Modi ",0
Me also that night and u,0
"Kunal kamra sir, aaj mai yeh cartoon dekhkar etna hanshi ki eak mahine ke lockdown ka tension dur bhag gaya ,",0
And Kamra on 5th April 9pm ,0
Everyone please don't go on this shop because this man will only shout at you and will give you nothing but namo candle and if you will ask something he will shut his mouth.,1
Ready for vintage collection,0
Mean while bhakts during shortage of candles,0
Breaking: Arnab Goswami burns country instead of Candle.,1
Someone posted this online:,0
,0
I thought he would talk serious this time..,0
April fools day will be on 5th not 1st here on wards.,0
Italy claps on balcony.,0
India copied.,0
Italy light lamps on balcony.,0
Really a clown.. Instead he cud distribute masks and adequate protection to doctors and fellow health professionals..,1
Have you heard of the word SOLIDARITY (to show that we agree with the aims of the Government and will follow the lockdown in this present condition)by common man by lighting candles in situations such as wars and pandemics...like we did during kargil,0
 Is there a shortage for Candles and Torch lights in India..?.The Nation wants to know have a prime debate .. #ArnabGoswami,0
"To all those who are making fun about lighting Diyas/candles. People like you have problem with everything and always will have, can't expect less from Kunal Kamrandi fans.",0
"I believe we don’t need to be #Bhakts to express solidarity of our country.... it’s a an expression that we all will fight together, stand together even if our own people against us doing nasty things like spreading virus, spitting on doctors, hiding from police etc etc",1
Why dont you create a meme about other issues like health workers being thrashed by peaceful ppl... Even not cooperating with dem...,0
nstead of giving Essentials to the hands of the nation...,0
after maulana apologize in one next minute nxt 59 minutes Arnab Goswami ,1
he bhakts lik us ....,0
When u don't have any content for comedy and don't have any quality for being a stand up comedian just target one man to run his shop...,0
Prime minister is playing Big Boss with us. Each time he is coming with new tasks for us...,1
his dog.. Not suitable this job also.. With customers also he will bark like anything.. Who want good business.. He will not select as a sales boy also...,1
At this hour of showing sympathy and support towards Government. He is mocking the PM. How shitty is that,1
"In the prime show, he is going to use a lamp as well...",0
At this hour of showing sympathy and support towards Government. He is mocking the PM. How shitty is that,0
He's no plans isliye he's doing circus with whole country.,1
Kunal ... full a Phycho man. What are you doing for the pandemic in India? Can you suggest some of the measures to super spreader spl from Nizamuddin?,1
All the funmaker who think they have better idea than our respected PM Modi,0
Then please why don’t you come forward and save our country by serving corona patients only and feed all poor people to whom you think Modi has to feed them while giving them,0
scularism n idiots is not possible in this country,1
Librandus on 5th April,1
