tweet,label
"incredible india! at the country of diversity and democracy, there is no room for muslims! this is hypocrisy",1
this shame on you and your country will remain forever #freedom #security,0
haha! where did you got the news from? 16% 0f muslims that are increasing in india! hindus were killed more than muslims,1
why is people killing each other why?? all are humans right?  bekind!,0
stop killing indian muslims down with USA,1
sir you are the best! just ignore the negative comments,0
stop killing in kashmir,1
modi and his folks are all terrorist,1
india has been known the land of peace! stop the madness in the name of dharma!! ,0
modi and trump both are idiots they dont know what they are doing! just wait and watch till the whole world burns,1
trump wants your money and doesnt even care about your people he wants our country to be engaged in full time war with each other,1
best prime minister than all the rest of india unlike the last guy who never spoke mr.manmohan singh,0
you are the obediant dog of america and every muslim wishes you to die,1
we need pm like manmohan singh and apj abdul kalam our country needs to know the differences,0
maybe you said is right but i dont think thats true  he wanted to rule india not to develop it,0
hey just stop ok watever you saying is wrong hope you seek attention elsewhere coz u are not getting it here,0
motherfucker asshole terrorist the one who abonden his mother and used her for voting campaign he is the most evil person i can think of fuck fucking gay,1
suck a big dick you bag of balls asshole you are a sheamle trans gay cock scuking mother fucker,1
I want to go to a haunted house maybe get possesed y'know just to see if ghosts are real ,0
I'm never gonna be ok with my nigga around alot of bitches while with his boys. Cause I was once that female your boys put you on !!,1
Where the bad bitches at? Lol ,0
VIDEOS: Immigrant Somali Muslim Woman Yelling Allahu Akbar Intentionally Ran Over 40 People On...,1
Was Trump right? Officers say pockets of Muslims celebrated 9/11 ,0
He was secretly converted to Islam by Saddamn HouSSein in late 80's. He often says Allah Akbar,1
"Admiral Akbar didn't shout ""it's a trap"" in the new Star Wars so I want my money back",1
@YoungCons Female Killer In Vegas Allegedly Shouted Allahu Akbar As She Ran Over People ,1
Female Killer In Las Vegas Shouted ÅAllahu AkbarÅ ”Ãˆ As She Ran Over 40 Innocent People Last Night ,1
@marwaeljabo same goes for you ,0
Female Killer In Vegas  Shouted ÅAllahu AkbarÅ €”Ãˆ As She Ran Over People,0
"Checking out ""Female Killer In Las Vegas Shouted ÅAllahu AkbarÅ ?€”Ãˆ As She Ran Ove"" on America Conservative 2 Conservat: https://t.co/bnWLjt5FaX",0
Brother @imraansiddiqi  makes a living off accusing people of #Islamophobia. but does not know what #Islamphobia means. Allahou Akbar! :),0
@akbar_hh need more people like you,0
There's always something going on in a Tesco car park,0
MUSLIM IMMIGRANT Chanted ÅAllahu AkbarÅ €”Âù While Raping Gas Station AttendentÅ €”_Refuses To Appear In... https://t.co/QyLqFM60Dj,0
why is people killing each other why?? all are humans right?  bekind!,0
one person followed me // automatically checked by https://t.co/TdhwPByXmF,0
"France says they ""neutralized"" a number of al-Mourabitoun fighters near M?€™Â©naka, Al Akbar said they were Platforme: https://t.co/RwF0sfovQu",0
Was Trump right? Officers say pockets of Muslims celebrated 9/11,1
modiji can mimic hitler better than hitler himself,0
A standup comic talking to the biggest standup comic of all time,0
please also report that hundred were burnt alive by muslims including women and children who were hindus,1
"gentle reminder, despite the nazism and holocaust lakhs of jews still live in germany and hitler had to commit suicide same will happen to modi",1
1 muslim injured is equal to the death of 1000 hindus according to media,1
"like what your party did.. scams, selling indias heritage and antiques to itlay...",0
yes this is how your congress party made profits you scam traitors in millions assholes...,1
take your pupetioring  govt of sonia gandhi and shoe it in your ass,1
watch  chotta bheem with rahul gandhi,0
"like modi govt doesnt know about rafael scam and was not in it, everyone is in this all together no one is saint!! lets just shoot them all",1
"Should I stay blonde, or go light brown, or this ashy brown?",1
For just 1 bottle of lotion a day you can help ashy African American children... https://t.co/4LjVPm307W,0
"Correction: Ashley has a nice rice cake, everyone. @Im_Ashy_",1
@AzTec_Ashy you fuckin nerd,1
@Ashy_Boss I only have one child Å ?€œ?€˜_?„¢Âè_Â´Ã™Âè,0
your child is fucking gay,1
"@precious_sneed lmao deadass, nah them 9's be ashy af too_?„¢?€__ people at my school shits be damn near see through",0
Deep down Anza know that my nudes are anything but Ashy....kodwa asikho lapho,0
@She_Me_Her_We you riiiiiiiiich! Hey boo _?„¢?€¢?€”,0
@Adolfhibsta I will recommend coconut oil for his ashy hands,1
@ashy_adree Ayyyy I saw Kevin last night .his still ugly_?„¢?€_Ã_,1
@Ashy_Boss I pay rent to tho smh that's just my mothers bills _?„¢?€_Â©,0
For your ashy knees ?  https://t.co/Ljb20xS7dB,0
@Damii_S ashy work is easy uno,0
"I know you don't believe this you just typed""@Royal_Anza: Tsek na madry Ashy nudes akho https://t.co/jRpNNwTFlS""",1
my hair is so ashy today,0
@iamlaurenp Jacoby... Still strong wrong and Ashy #intothebadlands,0
"They don't want us using cocoa butter, they want us ashy. #AndAnothaÅ ?€_Âù_?„¢Âè_@lexisdanielle07 @smylpz https://t.co/YvN9slK1od",0
@EgyptTaughtMe @srslyab that's not even your skin tone and that's not even your body you ashy bitch https://t.co/TwBW9O9wvx,1
Just stop talking,0
Nvm he's talking about the pastry in my story  https://t.co/GkDq64RjMs,0
I'm ashy af,0
@She_Me_Her_We stop stunting on us rent payers!,0
@Swirley1 @AzTec_Ashy @TeamRetroEU he's back,0
they look ashy asf https://t.co/TCrKqyaxNZ,0
"okay now if your black timbs ashy don't wear them tf, not even black them shits shadow grey",0
@Swirley1 @AzTec_Ashy @TeamRetroEU ohhh yeah,0
Yo.... I've been called ashy before. Boy that stings,0
You ever got a nude from a girl with a ashy booty?! Lmaooooooll,1
Hold up I guess I gotta go beat somebody's ass _?„¢?€_Ãª,1
Moral of the story: lash game can't be weak _?„¢?€__ https://t.co/nCjwy0P3Bo,0
"If you ain't for letting a chick stack all her money while u break yo back to pay the bills you
1. Broke Boi
2. Call center worker
3. Ashy",1
"@eggsbenni221 He can be such a sneaky little bastard, but bless, I heart him.",1
"Merry fucking Christmas, Santa! You bastard... ;) Now playing on AD: ""All I Want for Xmas is to Kick Your Ass!"" https://t.co/iM1a9GZGZs",1
@WashurLettuce absolute bastard!,1
"Santa_?„¢_Ã„_?„¢ÂèÅ_ you big bastard, just throw some wine or vodka in my stocking so I can forget how much I've spent... Sincerely, moms everywhere_?„¢ÃˆÃœ",1
"Nothing says ""IÅ ?€”Ãˆm a fat bastard"" like wearing a T-shirt in a swimming pool.",1
